Title,Model,Brand,Category,Price,Image URL,Product URL,Store
Top Mount 463L | RT47CG60,RT47CG60,Samsung,N/A,549,https://bmsmena.com/cdn/shop/files/RT47CB664222JO-000-001_1920x.png?v=1688724677,https://bmsmena.com/products/rt47cb66?_pos=1&_sid=6093abc5a&_ss=r,BMS
Bottom Glass 340L | RB34A6B2F,RB34A6B2F,Samsung,N/A,599,https://bmsmena.com/cdn/shop/files/RB34C6B2E22LV_000_0001_1920x.png?v=1724515464,https://bmsmena.com/products/rb34c6b2e?_pos=2&_sid=6093abc5a&_ss=r,BMS
Bottom Glass 340L | RB34A6B2F,RB34A6B2F,Samsung,N/A,599,https://bmsmena.com/cdn/shop/products/RB34A6B2F_Black_000_001_1920x.png?v=1693923314,https://bmsmena.com/products/rb34a6b2f?_pos=3&_sid=6093abc5a&_ss=r,BMS
Bespoke 460L | RT47CB66,RT47CB66,Samsung,N/A,499,https://bmsmena.com/cdn/shop/files/RT47CG60-000-001_1920x.png?v=1689436826,https://bmsmena.com/products/rt47cg60?_pos=4&_sid=6093abc5a&_ss=r,BMS
French Door 593L | RF59A70T0,RF59A70T0,Samsung,N/A,799,https://bmsmena.com/cdn/shop/files/RF48A4010B4LV-000-001_1920x.png?v=1688724249,https://bmsmena.com/products/rf48a4010?_pos=5&_sid=6093abc5a&_ss=r,BMS
Bespoke 460L | RT47CB66,RT47CB66,Samsung,N/A,769,https://bmsmena.com/cdn/shop/files/RT58K7000S8JO-000-001_1920x.png?v=1721922599,https://bmsmena.com/products/rt58k7000?_pos=6&_sid=6093abc5a&_ss=r,BMS
AR12ASC (WindFree - 1 Ton),AR12ASC,Samsung,N/A,449,https://bmsmena.com/cdn/shop/files/AR12TXHQASISK_000_0001_1920x.png?v=1724493006,https://bmsmena.com/products/ar12txh?_pos=7&_sid=6093abc5a&_ss=r,BMS
AR12TXH (DIT - 1 Ton),AR12TXH,Samsung,N/A,549,https://bmsmena.com/cdn/shop/files/AR18BXHQASISK_000_0001_1920x.png?v=1724493542,https://bmsmena.com/products/ar18bxh?_pos=8&_sid=6093abc5a&_ss=r,BMS
AR18BXH (DIT - 1.5 Ton),AR18BXH,Samsung,N/A,649,https://bmsmena.com/cdn/shop/files/AR24BXHQASISK_000_0001_1920x.png?v=1724494418,https://bmsmena.com/products/ar24bxh?_pos=9&_sid=6093abc5a&_ss=r,BMS
French Door 593L | RF59A70T0,RF59A70T0,Samsung,N/A,999,https://bmsmena.com/cdn/shop/files/RS68A8820S9LV-000-002_1920x.png?v=1688724457,https://bmsmena.com/products/rs68a8820?_pos=10&_sid=6093abc5a&_ss=r,BMS
French Door 466L | RF48A4010,RF48A4010,Samsung,N/A,1499,https://bmsmena.com/cdn/shop/files/RF59A70T0S9LV-000-001_1920x.png?v=1688724393,https://bmsmena.com/products/rf59a70t0?_pos=11&_sid=6093abc5a&_ss=r,BMS
Dryer 8Kg | DV80TA020,DV80TA020,Samsung,N/A,549,https://bmsmena.com/cdn/shop/files/DV90T7240BX-FH_000_001_1920x.png?v=1687361115,https://bmsmena.com/products/dv90t7240?_pos=12&_sid=6093abc5a&_ss=r,BMS
French Door 466L | RF48A4010,RF48A4010,Samsung,N/A,849,https://bmsmena.com/cdn/shop/files/RSA8100-000-001_1920x.png?v=1689436717,https://bmsmena.com/products/rsa8100?_pos=13&_sid=6093abc5a&_ss=r,BMS
Bespoke 460L | RT47CB66,RT47CB66,Samsung,N/A,429,https://bmsmena.com/cdn/shop/files/RT38K50AJ-000-002_1920x.png?v=1692706699,https://bmsmena.com/products/rt38k50aj?_pos=14&_sid=6093abc5a&_ss=r,BMS
