Title,Model,Brand,Category,Price,Image URL,Product URL,Store
"Top Freezer Refrigerator 423 L Gross Capacity, Smart Inverter™ , Silver Color",GNB-682FVWP.ASWPELF,LG,"LG Refrigerators, LG Top Mount Refrigerators",539,https://newvision.jo/wp-content/uploads/2024/11/large01.avif,https://newvision.jo/en/product/gnb-682fvwp-aswpelf-en/,LG vision
"Top Freezer Refrigerator 493 L Gross Capacity, Inverter Compressor, Door Cooling+™, White Color",GNB-682FVFP.APYPELF,LG,"LG Refrigerators, LG Top Mount Refrigerators",579,https://newvision.jo/wp-content/uploads/2024/09/DZ-01.jpg,https://newvision.jo/en/product/gnb-682fvfp-apypelf-en/,LG vision
"Top Freezer Refrigerator 493 L Gross Capacity, Inverter Compressor, Door Cooling+™, Silver Color",GLB-582GVLP.DPZPELF,LG,"LG Refrigerators, LG Top Mount Refrigerators",649,https://newvision.jo/wp-content/uploads/2023/03/large01-9.jpg,https://newvision.jo/en/product/glb-582gvlp-dpzpelf/,LG vision
"Top Freezer Refrigerator 423 L Gross Capacity, Smart Inverter™ , Silver Color",GLM-592LI.DPZPELF,LG,"LG Refrigerators, LG Top Mount Refrigerators",499,https://newvision.jo/wp-content/uploads/2023/03/large01-8.jpg,https://newvision.jo/en/product/en-glm-592li-dpzpelf/,LG vision
"Top Freezer Refrigerator 423 L Gross Capacity, Smart Inverter™ , Silver Color",GNM-642LI.APZPELF,LG,"LG Refrigerators, LG Top Mount Refrigerators",789,https://newvision.jo/wp-content/uploads/2023/03/Desktop_zoom_01.jpg,https://newvision.jo/en/product/en-gnm-642li-apzpelf/,LG vision
"Top Freezer Refrigerator 423 L Gross Capacity, Smart Inverter™ , Silver Color",GNB-762HGI.ABMPELF,LG,"LG Refrigerators, LG Top Mount Refrigerators",989,https://newvision.jo/wp-content/uploads/2023/03/1600_1-1.jpg,https://newvision.jo/en/product/en-gnb-762hgi-abmpelf/,LG vision
"Top Freezer Refrigerator 423 L Gross Capacity, Smart Inverter™ , Silver Color",GNM-732HLI.APZPELF,LG,"LG Refrigerators, LG Top Mount Refrigerators",699,https://newvision.jo/wp-content/uploads/2023/03/Z01_large02.jpg,https://newvision.jo/en/product/en-gnm-732hli-apzpelf/,LG vision
"Top Freezer Refrigerator 493 L Gross Capacity, Inverter Compressor, Door Cooling+™, White Color",GRM-852HLI.APZPELF,LG,"LG Refrigerators, LG Top Mount Refrigerators",999,https://newvision.jo/wp-content/uploads/2023/03/Z01_large01.jpg,https://newvision.jo/en/product/en-grm-852hll-apzpelf/,LG vision
"Top Freezer Refrigerator 423 L Gross Capacity, Smart Inverter™ , Silver Color",GCJ-287TNL.APZPELF,LG,"LG Refrigerators, LG Side By Side Refrigerators",1849,https://newvision.jo/wp-content/uploads/2023/03/large01-6.jpg,https://newvision.jo/en/product/en-gcj-287tnl-apzpelf/,LG vision
"Top Freezer Refrigerator 423 L Gross Capacity, Smart Inverter™ , Silver Color",GCB-287DVE.ADSPELF,LG,"LG Refrigerators, LG Side By Side Refrigerators",979,https://newvision.jo/wp-content/uploads/2023/03/large01-5.jpg,https://newvision.jo/en/product/en-gcb-287dve-adspelf/,LG vision
"Top Freezer Refrigerator 493 L Gross Capacity, Inverter Compressor, Door Cooling+™, White Color",GCX-287TNSI.ABSPELF,LG,"LG Refrigerators, LG Side By Side Refrigerators, LG Door-in-Door Refrigerator",2099,https://newvision.jo/wp-content/uploads/2023/03/large01-4.jpg,https://newvision.jo/en/product/gcx-287tnsi-abspelf-en/,LG vision
"Top Freezer Refrigerator 423 L Gross Capacity, Smart Inverter™ , Silver Color",GC-F511ELDM.APZPELF,LG,"LG Refrigerators, LG Top Mount Refrigerators",749,https://newvision.jo/wp-content/uploads/2023/03/large01-3.jpg,https://newvision.jo/en/product/en-gc-f511eldm-apzpelf/,LG vision
"Top Freezer Refrigerator 423 L Gross Capacity, Smart Inverter™ , Silver Color",GNB-682FVWP.ASWPELF,LG,"LG Refrigerators, LG Top Mount Refrigerators",539,https://newvision.jo/wp-content/uploads/2024/11/large01.avif,https://newvision.jo/en/product/gnb-682fvwp-aswpelf-en/,LG vision
"Top Freezer Refrigerator 493 L Gross Capacity, Inverter Compressor, Door Cooling+™, White Color",GNB-682FVFP.APYPELF,LG,"LG Refrigerators, LG Top Mount Refrigerators",579,https://newvision.jo/wp-content/uploads/2024/09/DZ-01.jpg,https://newvision.jo/en/product/gnb-682fvfp-apypelf-en/,LG vision
"Top Freezer Refrigerator 493 L Gross Capacity, Inverter Compressor, Door Cooling+™, Silver Color",GLB-582GVLP.DPZPELF,LG,"LG Refrigerators, LG Top Mount Refrigerators",649,https://newvision.jo/wp-content/uploads/2023/03/large01-9.jpg,https://newvision.jo/en/product/glb-582gvlp-dpzpelf/,LG vision
"Top Freezer Refrigerator 423 L Gross Capacity, Smart Inverter™ , Silver Color",GLM-592LI.DPZPELF,LG,"LG Refrigerators, LG Top Mount Refrigerators",499,https://newvision.jo/wp-content/uploads/2023/03/large01-8.jpg,https://newvision.jo/en/product/en-glm-592li-dpzpelf/,LG vision
"Top Freezer Refrigerator 423 L Gross Capacity, Smart Inverter™ , Silver Color",GNM-642LI.APZPELF,LG,"LG Refrigerators, LG Top Mount Refrigerators",789,https://newvision.jo/wp-content/uploads/2023/03/Desktop_zoom_01.jpg,https://newvision.jo/en/product/en-gnm-642li-apzpelf/,LG vision
"Top Freezer Refrigerator 423 L Gross Capacity, Smart Inverter™ , Silver Color",GNB-762HGI.ABMPELF,LG,"LG Refrigerators, LG Top Mount Refrigerators",989,https://newvision.jo/wp-content/uploads/2023/03/1600_1-1.jpg,https://newvision.jo/en/product/en-gnb-762hgi-abmpelf/,LG vision
