Title,Model,Brand,Category,Price,Image URL,Product URL,Store
"BEKO Refrigerator Double Door, A+, 300Lit, Silver",RDSA 32SX,BEKO,TOP MOUNT,199.0,https://smartbuy-me.com/cdn/shop/files/NDA0606ST0010_aa1ffaa2-4b41-43da-b185-1cd6efef77dc.jpg?v=1722962365&width=1024,/products/nda0606st0010,Smart Buy
"Beko Refrigerator, A++, 512 Lit, Inox",GN156320XP,BEKO,SIDE BY SIDE,649.0,https://smartbuy-me.com/cdn/shop/files/NDA0106ST0104-2.jpg?v=1729077789&width=1024,/products/nda0106st0104,Smart Buy
"Bosch Refrigerator series 6 Top Freezer A++, 687Lit, Anti Fingerprint, Stainless Steel",KDN86AI30U,BOSCH,TOP MOUNT,949.0,https://smartbuy-me.com/cdn/shop/files/DAK0606ST0015.png?v=1731594418&width=1024,/products/dak0606st0015,Smart Buy
"Samsung Top Mount Freezer Refrigerator, 391L Net Capacity, Silver",RT38CG6000S9JO,Samsung,TOP MOUNT,399.0,https://smartbuy-me.com/cdn/shop/files/SCE0606ST0081-1.jpg?v=1727519560&width=1024,/products/sce0606st0081,Smart Buy
"Samsung Refrigerator Sbs Side by Side Refrigerator, Space max Technology, 609 Lit",RS68A8820S9,SAMSUNG,SIDE BY SIDE,1149.0,https://smartbuy-me.com/cdn/shop/files/SCE0606ST0006_67977e03-8ab3-4d71-a333-eef1d059e2bf.jpg?v=1722963413&width=1024,/products/sce0606st0006,Smart Buy
"ELMA Refrigerator Free Stand, stainless steel, Ref 460 Lit, inverter",ELM-RF460,ELMA,TOP MOUNT,439.0,https://smartbuy-me.com/cdn/shop/files/UTI0606ST0004.jpg?v=1722967156&width=1024,/products/uti0606st0004,Smart Buy
Daewoo  Refrigerator No frost 488 Lit,DE-R750,Daewoo,SIDE BY SIDE,575.0,https://smartbuy-me.com/cdn/shop/files/ZFD0606ST0009-1.jpg?v=1727590570&width=1024,/products/zfd0606st0009,Smart Buy
Samsung Top Mount Freezer Refrigerator with Optimal Fresh,RT47CG6002S9JO,SAMSUNG,TOP MOUNT,499.0,https://smartbuy-me.com/cdn/shop/files/SCE0606ST0073_1.jpg?v=1722972020&width=1024,/products/sce0606st0073,Smart Buy
"WHIRLPOOL Built in Fully Integrated Refrigerator A+, 314Lit, 60cm, White",ARG 18411 A++ EX,Whirlpool,BOTTOM FREEZER,1020.0,https://smartbuy-me.com/cdn/shop/files/TCO0606ST0123-1.jpg?v=1725881772&width=1024,/products/tco0606st0123,Smart Buy
"Beko Refrigerator Top Freezer A+, 406 Lit, Silver",RDNG551M20TSX,Beko,TOP MOUNT,369.0,https://smartbuy-me.com/cdn/shop/files/NDA0606ST0032-1.jpg?v=1731398028&width=1024,/products/nda0606st0032,Smart Buy
"Elma Refrigerator, Stainless Steel, 512 lit, Inverter",ELM-RF515,ELMA,TOP MOUNT,499.0,https://smartbuy-me.com/cdn/shop/files/UTI0606ST0007-1_2c038b05-d0bc-4df6-8195-caced679efe2.jpg?v=1722504183&width=1024,/products/uti0606st0007,Smart Buy
"Elma Refrigerator Mine Bar Door Glass,91 Lit, Black",ELM-RF92,ELMA,MINI BAR,159.0,https://smartbuy-me.com/cdn/shop/files/UTI0606ST0005.png?v=1729432249&width=1024,/products/uti0606st0005,Smart Buy
"Elma Refrigerator Stainless Steel Ref, 261 Lit Inverter",ELM-RF260,ELMA,BOTTOM FREEZER,299.0,https://smartbuy-me.com/cdn/shop/files/UTI0606ST0006-1_1906b7dd-c89b-4196-8776-80b324c0260f.jpg?v=1722504181&width=1024,/products/uti0606st0006,Smart Buy
"Daewoo, Side by side Refrigerators A+, Silver",DE-SBS909 SS,Daewoo,SIDE BY SIDE,850.0,https://smartbuy-me.com/cdn/shop/files/ZFD0606ST0011.png?v=1727595475&width=1024,/products/zfd0606st0011,Smart Buy
Whirlpool Refrigerator 84Cm Inox,W84TI 31 X,WHIRLPOOL,STOVES & OVENS,850.0,https://smartbuy-me.com/cdn/shop/files/TCO0606ST0073_1c449764-c652-4bc3-af8c-1f6aa3b705f6.jpg?v=1722965454&width=1024,/products/tco0606st0073,Smart Buy
"IGNIS Refrigerator Safety System A+, 400Lit, Silver",CNFT7400X,IGNIS,BOTTOM FREEZER,899.0,https://smartbuy-me.com/cdn/shop/files/SPE0606ST0002.jpg?v=1722965040&width=1024,/products/spe0606st0002,Smart Buy
Samsung Refrigerator Top Freezer 580L Twin Cooling Plus™SilverMulti Flow,RT58K7000S8,SAMSUNG,TOP MOUNT,769.0,https://smartbuy-me.com/cdn/shop/files/SCE0606ST0067_6e0d3250-7ce0-4a97-a017-001742e3672a.jpg?v=1722963427&width=1024,/products/sce0606st0067,Smart Buy
"BOSCH Refrigerator Free Standing, 505Lit, French, Black Steel",KGN56CX30U,BOSCH,BOTTOM FREEZER,854.0,https://smartbuy-me.com/cdn/shop/files/DAK0606ST0024-2.jpg?v=1730196282&width=1024,/products/dak0606st0024,Smart Buy
"Beko Refrigerator Double Door 510Lit, Dark Inox",RDNE 510M20 XBR,BEKO,TOP MOUNT,419.0,https://smartbuy-me.com/cdn/shop/files/file-1681897569513.webp?v=1730359222&width=1024,/products/nda0606st0003,Smart Buy
"Daewoo Refrigerator No frost 448 Lit, Inverter, A++",DE-R5448,Daewoo,TOP MOUNT,450.0,https://smartbuy-me.com/cdn/shop/files/ZFD0606ST0008-1.jpg?v=1727590292&width=1024,/products/zfd0606st0008,Smart Buy
"Bosch Refrigerator Botton Freezer A++, 515Lit, Stainless Steel",KGN56VI30U,BOSCH,BOTTOM FREEZER,799.0,https://smartbuy-me.com/cdn/shop/files/DAK0606ST0009.jpg?v=1722954419&width=1024,/products/dak0606st0009,Smart Buy
Indesit Freestanding Refrigerator double door top freezer Energy efficiency,I7TM 8111 NFX UK EX,ARIETE,TOP MOUNT,500.0,https://smartbuy-me.com/cdn/shop/files/ALZ0606ST0081-1_7558efb1-58b5-48e7-9599-a43072d6ca3b.jpg?v=1723372079&width=1024,/products/alz0606st0081,Smart Buy
"Bosch Bottom Refrigerator with Freezer A++, 684Lit, 186*86Cm, Anti Fingerprint, White",KGD86AW31U,BOSCH,BOTTOM FREEZER,1090.0,https://smartbuy-me.com/cdn/shop/files/DAK0606ST0020_37ba4f54-c657-412c-b304-3528789418bd.jpg?v=1722499360&width=1024,/products/dak0606st0020,Smart Buy
"Indesit Refrigerator Freestanding Double Door, Inox, 326 Lit, Double",I7TM 8111 NFX,INDESIT,TOP MOUNT,549.0,https://smartbuy-me.com/cdn/shop/files/ALZ0606ST0080_14b47360-416b-4336-821e-8cfb2aa83cd6.jpg?v=1722498722&width=1024,/products/alz0606st0080,Smart Buy
"BEKO Refrigerator 4 Doors, 626 Lit, Grey",GN 1406223PX,BEKO,SIDE BY SIDE,1049.0,https://smartbuy-me.com/cdn/shop/files/NDA0606ST0006_44755b31-2d70-470a-9cd0-d33337854161.jpg?v=1722501675&width=1024,/products/nda0606st0006,Smart Buy
Beko Refrigerator Double Door A+  304 L Silver Defrost,RDSA 43SX,BEKO,TOP MOUNT,279.0,https://smartbuy-me.com/cdn/shop/files/NDA0606ST0009_e7def176-f395-4fde-8f7f-5790bc43f408.jpg?v=1722962362&width=1024,/products/nda0606st0009,Smart Buy
"Samsung Refrigerator Sbs Side by Side A+, 647Lit, Inverter, Stainless Steel",RS62R5001M9,SAMSUNG,SIDE BY SIDE,799.0,https://smartbuy-me.com/cdn/shop/files/SCE0606ST0007_670d7f33-e5c9-40e7-836f-d62f014e5f7c.jpg?v=1722963416&width=1024,/products/sce0606st0007,Smart Buy
"Samsung Refrigerator Top Mount Freezer, Elegant Inox, 528 Lit",RT53K6000S8,SAMSUNG,TOP MOUNT,649.0,https://smartbuy-me.com/cdn/shop/files/SCE0606ST0066_1.jpg?v=1722972012&width=1024,/products/sce0606st0066,Smart Buy
"BEKO Refrigerator Double Door, 650 Lit, A++, Harvest fresh Pro Smart Inverter Compressor",RDNE 700E40XP,BEKO,TOP MOUNT,749.0,https://smartbuy-me.com/cdn/shop/files/NDA0606ST0013_1.jpg?v=1722971583&width=1024,/products/nda0606st0013,Smart Buy
"Beko Refrigerators, A++, 490Lit, Grey",B5RCNE565HXPMG,BEKO,TOP MOUNT,749.0,https://smartbuy-me.com/cdn/shop/files/NDA0106ST0102.png?v=1729080688&width=1024,/products/nda0106st0102,Smart Buy
National Deluxe One Door Refrigerator Mini Bar 92 Lit,DF-101S,NATIONAL,MINI BAR,115.0,https://smartbuy-me.com/cdn/shop/files/ZHR0606ST0070.jpg?v=1722967876&width=1024,/products/zhr0606st0070,Smart Buy
Daewoo Refrigerator Four Door   / A+ / Silver Glass 505 Lit,DE-FDS811BG,DAEWOO,SIDE BY SIDE,999.0,https://smartbuy-me.com/cdn/shop/files/ZHR0606ST0071-1_23898dc0-07db-4706-b1c9-622055f65df3.jpg?v=1723989527&width=1024,/products/zhr0606st0071,Smart Buy
"Blomberg Refrigerator A++, 356 Lit,145 Lit, Motor Invertor",KND 1880 XAN,BLOMBERG,UPRIGHT FREEZER,649.0,https://smartbuy-me.com/cdn/shop/files/JLB0606ST0035_ff63255d-a06c-411d-a8e1-b1cc5f08f95b.jpg?v=1722961670&width=1024,/products/jlb0606st0035,Smart Buy
"Beko Refrigerators, A++, 615Lit, Manhattan Gray",RCNE730E40SXP,BEKO,BOTTOM FREEZER,949.0,https://smartbuy-me.com/cdn/shop/files/NDA0106ST0103-1.png?v=1731397911&width=1024,/products/nda0106st0103,Smart Buy
"Daewoo Refrigerator 4 Doors, 488 lit, Stainless Steel",DE-460  WEXA+,DAWEOO,TOP MOUNT,950.0,https://smartbuy-me.com/cdn/shop/files/ZHR0606ST0032_f89f068e-1fc8-44d7-90a6-6ef8ec5ae6dd.jpg?v=1722967868&width=1024,/products/zhr0606st0032,Smart Buy
"Teka Built-in Counter Top Refrigerator 130 L, white, countertop integrated refriger",RSL 41150 BU,Teka,MINI BAR,575.0,https://smartbuy-me.com/cdn/shop/files/ALZ0606ST0085-1.jpg?v=1726401262&width=1024,/products/alz0606st0085,Smart Buy
"TEKA Built-in Combi Refrigerator, Bottom Freezer 275 lit, No Frost Built-in, White",CI3 350 NF EU,Teka,BOTTOM FREEZER,749.0,https://smartbuy-me.com/cdn/shop/files/ALZ0606ST0083-2.jpg?v=1725868621&width=1024,/products/alz0606st0083,Smart Buy
"IGINS Refrigerator Safety System A+, 370Lit, Silver",CNFT6700,IGNIS,BOTTOM FREEZER,699.0,https://smartbuy-me.com/cdn/shop/files/SPE0606ST0001.jpg?v=1722965037&width=1024,/products/spe0606st0001,Smart Buy
"Teka Integrated Full Under Top Refrigerator A+, Mini Bar, 128Lit, Silver",TKI3 145 D,TEKA,MINI BAR,574.99,https://smartbuy-me.com/cdn/shop/files/ALZ0666ST0087_2.JPG?v=1722974870&width=1024,/products/alz0666st0087,Smart Buy
Samsung Top Mount Freezer Refrigerator 460L BlackNo FrostDigital Inverter A+,RT47CB664222JO,SAMSUNG,TOP MOUNT,559.0,https://smartbuy-me.com/cdn/shop/files/SCE0606ST0069_8e155e41-cd97-42f3-9f78-fb74756355fc.jpg?v=1722963429&width=1024,/products/sce0606st0069,Smart Buy
"DAEWOO Refrigerator Two Door, No Frost, LED Display, Stainless Stell, 465 Lit, A+", DE-R49,Daewoo,SIDE BY SIDE,479.0,https://smartbuy-me.com/cdn/shop/files/ZHR0606ST0068_b93dd3eb-1e94-4cad-8885-497a5622a906.jpg?v=1722504748&width=1024,/products/zhr0606st0068,Smart Buy
"Whirlpool Free Standing Refrigerator with Freezer French Door, 308 Lit",W5 711E OX,Whirlpool ,BOTTOM FREEZER,450.0,https://smartbuy-me.com/cdn/shop/files/TCO0606ST0077-1.jpg?v=1729428557&width=1024,/products/tco0606st0077,Smart Buy
"TEKA Built-in Combi Refrigerator, Bottom Freezer, 275 lit, No Frost Built-in, White",CI3 330 NF EU,Teka,BOTTOM FREEZER,699.0,https://smartbuy-me.com/cdn/shop/files/ALZ0606ST0082-1.jpg?v=1725868137&width=1024,/products/alz0606st0082,Smart Buy
Teka Refrigerator Four Door French Door Compressor Inverter Black Steel,RMF 77960 DSS,TEKA,SIDE BY SIDE,1550.0,https://smartbuy-me.com/cdn/shop/files/ALZ0606ST0079_19742bc5-ec69-4722-9426-9d29400b0417.jpg?v=1722498720&width=1024,/products/alz0606st0079,Smart Buy
"Bosch Serie 6 Bottom Mount Refrigerator A++, 578Lit, 75Cm, Inox",KGN76CI30U,BOSCH,BOTTOM FREEZER,902.0,https://smartbuy-me.com/cdn/shop/files/DAK0606ST0022.jpg?v=1731397681&width=1024,/products/dak0606st0022,Smart Buy
"National Deluxe Refrigerator Two Door, No Frost, LED Display, Stainless Steel, 538 Lit, A+",ND-559SS,National D,TOP MOUNT,599.0,https://smartbuy-me.com/cdn/shop/files/ZHR0606ST0066_a2ce2547-df3c-4e5d-9144-e2c48edb225f.jpg?v=1722504745&width=1024,/products/zhr0606st0066,Smart Buy
"Daewoo Two Door No Frost Refrigerator, X Cooling, 480 Lit, Digital Screen",FGK-50ECG,DAEWOO,TOP MOUNT,899.0,https://smartbuy-me.com/cdn/shop/files/ZHR0606ST0040_34a15210-90ab-42f8-87c6-856f98c603c5.jpg?v=1722967871&width=1024,/products/zhr0606st0040,Smart Buy
