title,model,brand,category,price,product_url,image_url
Built In MCW 50L | NQ5B45,,Samsung,,229 JD,https://bmsmena.com/products/ms22m825?_pos=1&_sid=a1e3173f5&_ss=r,https://bmsmena.com/cdn/shop/products/MS22M8254AKE3_000_001_1920x.png?v=1693405435
Smart Oven 70L | NV7B41,,Samsung,,369 JD,https://bmsmena.com/products/nv70k-1?_pos=2&_sid=a1e3173f5&_ss=r,https://bmsmena.com/cdn/shop/files/NV70K-000-002_c86c034a-aa62-4beb-a15d-364fa6e267fc_1920x.png?v=1690098328
Tekmaz Electric Oven 60L NAS-EO60L,,Tekmaz,Electrical Oven / Hop,125.00JD,https://diamondstarjo.com/product/tekmaz-electric-oven-60l-nas-eo60l,https://diamondstarjo.com/wp-content/uploads/2024/03/D9_81_D8_B1_D9_86-_D9_83_D9_87_D8_B1_D8_A8_D8_A7_D8_A6_D9_8A-04-scaled-1.webp
TEKMAZ- Electric Oven With Grill 60L / 2000W,TKM-OVNTB-001,TEKMAZ-,Electrical Oven / Hop,125.00JD,https://diamondstarjo.com/product/tekmaz-electric-oven-with-grill-60l-2000w,https://diamondstarjo.com/wp-content/uploads/2023/01/llll.webp
Geepas Electric Oven GO4401N 2200W,GPS-OVE-0003,Geepas,Electrical Oven / Hop,127.00JD,https://diamondstarjo.com/product/geepas-electric-oven-go4401n-2200w,https://diamondstarjo.com/wp-content/uploads/2022/06/download-6.jpg
Home Electric oven HK-60,HOE-OVE-0006,Home,Electrical Oven / Hop,115.00JD,https://diamondstarjo.com/product/home-electric-oven-hk-60,https://diamondstarjo.com/wp-content/uploads/2021/10/Home_Electric_Oven_60L_Black.jpg
Electric Oven | Dual Cook | NV66M3531BS | 66L,NV66M3531BS,Electric,Built in,459.00JD,https://diamondstarjo.com/product/electric-oven-dual-cook-nv66m3531bs-66l,https://diamondstarjo.com/wp-content/uploads/2020/12/u_10166266.jpg
Electric Oven | Dual Fan | NV70K1340BS | 68L,NV70K1340BS/EU,Electric,Built in,369.00JD,https://diamondstarjo.com/product/electric-oven-dual-fan-nv70k1340bs-68l,https://diamondstarjo.com/wp-content/uploads/2020/12/NV70K1340BS.jpg
Home Electric oven HK-450,HOE-OVE-0004,Home,Electrical Oven / Hop,85.00JD,https://diamondstarjo.com/product/home-electric-oven-hk-450,https://diamondstarjo.com/wp-content/uploads/2020/02/66971407-b821-4b9b-b42d-a09593c14b32.jpg
Lofra Oven Built In FEX65F 60cm Electric S.Steel,FEX65F,Lofra,Built in,499.00JD,https://diamondstarjo.com/product/lofra-oven-built-in-fex65f-60cm-electric-s-steel,https://diamondstarjo.com/wp-content/uploads/2022/06/images-34.jpg
"ELBA, Gas Oven Built-in, , 60cm, Black, [EL 10 XLB FG]",EL 10 XLB FG,"ELBA,",Built in,490.00JD,https://diamondstarjo.com/product/elba-gas-oven-built-in-60cm-black-el-10-xlb-fg,https://diamondstarjo.com/wp-content/uploads/2024/04/elba-elio-fan-gas-oven-el-10-xlb-fg.png.webp
Thomson Oven TO6GGV/S,THO-OVE-0004,Thomson,Built in,329.00JD,https://diamondstarjo.com/product/thomson-oven-to6ggv-s,https://diamondstarjo.com/wp-content/uploads/2022/09/0-33-1200x1200-1.jpg
ELBA-90 SB 888 FP,90 SB 888 FP,ELBA-90,Cookers,759.00JD,https://diamondstarjo.com/product/90-sb-888-fp,https://diamondstarjo.com/wp-content/uploads/2024/04/wb5zz53ht8rnqzztayw2kn1elukx4yyblbuunbzs.jpeg
ELBA-90 SB 888 LC,90 SB 888 LC,ELBA-90,Cookers,759.00JD,https://diamondstarjo.com/product/90-sb-888-lc,https://diamondstarjo.com/wp-content/uploads/2024/04/البا-2.webp
"LG Microwave Oven 25L , Smart Inverter, Even Heating and Easy Clean , Black color",MS2042DB.BBKQLGF,LG,LG Microwave,79,https://newvision.jo/en/product/en-ms2042db-bbkqlgf/,https://newvision.jo/wp-content/uploads/2023/03/Z01_new_z1-1.jpg
"LG Microwave Oven 20L , With Easy Clean Coating, Rounded Corners Cavity, Black Color",MS2535GIS.BBKQELF,LG,LG Microwave,135,https://newvision.jo/en/product/en-ms2535gis-bbkqelf/,https://newvision.jo/wp-content/uploads/2023/03/Z01_new_z1.jpg
"LG Microwave Oven 20L , With Easy Clean Coating, Rounded Corners Cavity, Black Color",MS2595CIS.BSSQELF,LG,LG Microwave,145,https://newvision.jo/en/product/en-ms2595cis-bssqelf/,https://newvision.jo/wp-content/uploads/2023/03/1600x1062-Desktop-zoom_01.jpg
"Gold Master Oven Electric, 60Lit, Silver",GM-9402,GOLDMASTER,STOVES & OVENS,115.0,/products/nsq0624st0009,https://smartbuy-me.com/cdn/shop/files/NSQ0624ST0009.png?v=1730363896&width=1024
"Home Electric Oven Timer Will Bell Ring, 60Lit, 2200Watts, Black",HK-60,HOME ELECTRIC,ELECTRIC OVENS,85.0,/products/fsu0609st0001,https://smartbuy-me.com/cdn/shop/files/FSU0609ST0001.jpg?v=1722955885&width=1024
"Raf Electric Oven, 40Lit, 1500Watts, Black",R.5326B,RAF,ELECTRIC OVENS,69.99,/products/dsh0609st0002,https://smartbuy-me.com/cdn/shop/files/DSH0609ST0002.jpg?v=1722954505&width=1024
"Daewoo Air fryer & Electric Oven, 23LIt, Sliver",FM9010,DAEWOO,FRYERS,149.0,/products/zhr0605st0044,https://smartbuy-me.com/cdn/shop/files/ZHR0605ST0044.jpg?v=1730284884&width=1024
"Kumtel Mini Electrical Oven Inner Baking Tray, Control Panel Mechanical, 36Lit, 1420Watts",KF-3125,kumtel,ELECTRIC OVENS,29.0,/products/kumtel-mini-electrical-oven-inner-baking-tray-control-panel-mechanical-36lit-1420watts,https://smartbuy-me.com/cdn/shop/files/SDA0609ST0003.jpg?v=1732001250&width=1024
"RAF Electric Oven 7Lit, 2 Program, 600 Watts, Stainless steel heating element",R.5305B,RAF,ELECTRIC OVENS,26.0,/products/dsh0609st0001,https://smartbuy-me.com/cdn/shop/files/DSH0609ST0001.jpg?v=1722954502&width=1024
